date_diff_annoncée,tarif_net_fo
2022-05-06 16:24:00,22822.48264387207
2022-05-05 19:44:00,26496.046943481448
2022-05-05 16:56:00,22822.48264387207
2022-05-05 12:25:00,40665.51317470703
2022-05-04 20:07:00,33953.01837470703
2022-05-04 19:21:00,20308.347968774415
2022-05-04 16:24:00,22822.48264387207
2022-05-03 16:23:00,22822.48264387207
2022-05-03 15:47:00,21602.02904387207
2022-05-02 19:41:00,27765.3194
2022-05-02 19:12:00,21577.62042529297
2022-05-02 14:39:00,25519.684387353518
2022-04-26 19:44:00,25702.75307509766
2022-04-20 21:31:00,19673.712550195312
